id;newPrice;category;cale;STANDARD HD ;HDMI;SMART TV;WIFI
125544;749;cat-1;22;FullHD;2;NIE;NIE
121096;649;cat-1;32;HD;2;NIE;NIE
122303;749;cat-1;32;HD;2;NIE;NIE
122798;1449;cat-1;32;FullHD;3;TAK;TAK
122131;939;cat-1;32;FullHD;2;NIE;NIE
313674;899;cat-1;32;HD;2;NIE;NIE
122147;1999;cat-2;40;FullHD;3;TAK;TAK
251114;1899;cat-2;43;Ultra HD;2;TAK;TAK
311274;999;cat-2;40;FullHD;3;NIE;NIE
311275;1079;cat-2;43;FullHD;3;NIE;NIE
122803;2499;cat-3;50;Ultra HD;3;TAK;TAK
123465;1299;cat-3;50;FullHD;3;NIE;NIE
311295;1269;cat-3;48;FullHD;3;NIE;NIE
311299;1599;cat-3;49;FullHD;3;NIE;NIE
311271;1259;cat-3;48;FullHD;3;NIE;NIE
122286;2199;cat-3;50;Ultra HD;4;TAK;TAK
122291;1699;cat-3;49;FullHD;2;NIE;NIE
311303;2499;cat-3;50;Ultra HD;4;TAK;TAK
122738;2799;cat-4;55;Ultra HD;4;TAK;TAK
122274;2549;cat-4;55;Ultra HD;4;TAK;TAK
122310;2699;cat-4;55;Ultra HD;4;TAK;TAK
122278;2349;cat-4;55;FullHD;3;TAK;TAK
311313;2149;cat-4;55;FullHD;2;NIE;NIE
122270;3299;cat-4;55;Ultra HD;4;TAK;TAK
