gid;category_name;category_priority;category;sub_category_name;sub_category;discount
119924;LAPTOPY;4;laptopy;;;1714,0
119923;LAPTOPY;4;laptopy;;;1658,0
119903;LAPTOPY;4;laptopy;;;1605,0
119750;LAPTOPY;4;laptopy;;;1540,0
119908;LAPTOPY;4;laptopy;;;1440,0
119901;LAPTOPY;4;laptopy;;;1425,0
119922;LAPTOPY;4;laptopy;;;1422,0
119921;LAPTOPY;4;laptopy;;;1420,0
119907;LAPTOPY;4;laptopy;;;1308,0
119771;LAPTOPY;4;laptopy;;;1280,0
119773;LAPTOPY;4;laptopy;;;1230,0
119906;LAPTOPY;4;laptopy;;;1160,0
119905;LAPTOPY;4;laptopy;;;1100,0
119904;LAPTOPY;4;laptopy;;;1060,0
119893;LAPTOPY;4;laptopy;;;1047,0
119902;LAPTOPY;4;laptopy;;;1040,0
119900;LAPTOPY;4;laptopy;;;940,0
119899;LAPTOPY;4;laptopy;;;880,0
119895;LAPTOPY;4;laptopy;;;768,0
121449;LAPTOPY;4;laptopy;;;660,0
316036;LAPTOPY;4;laptopy;;;480,0
315274;LAPTOPY;4;laptopy;;;430,0
123399;LAPTOPY;4;laptopy;;;400,0
122791;LAPTOPY;4;laptopy;;;380,0
311969;LAPTOPY;4;laptopy;;;370,0
122795;LAPTOPY;4;laptopy;;;2000,0
316041;LAPTOPY;4;laptopy;;;320,0
313751;LAPTOPY;4;laptopy;;;320,0
120505;LAPTOPY;4;laptopy;;;290,0
314914;LAPTOPY;4;laptopy;;;280,0
122815;TELEWIZORY;3;telewizory;;;121,0
122799;TELEWIZORY;3;telewizory;;;109,0
122804;TELEWIZORY;3;telewizory;;;259,0
115168;TELEWIZORY;3;telewizory;;;50,0
125290;TELEWIZORY;3;telewizory;;;109,0
126580;TELEWIZORY;3;telewizory;;;800,0
124967;TELEWIZORY;3;telewizory;;;142,0
122131;TELEWIZORY;3;telewizory;;;15,0
122118;TELEWIZORY;3;telewizory;;;79,0
122297;TELEWIZORY;3;telewizory;;;35,0
122117;TELEWIZORY;3;telewizory;;;50,0
122738;TELEWIZORY;3;telewizory;;;109,0
122143;TELEWIZORY;3;telewizory;;;30,0
122133;TELEWIZORY;3;telewizory;;;9,0
125544;TELEWIZORY;3;telewizory;;;10,0
251114;TELEWIZORY;3;telewizory;;;30,0
123465;TELEWIZORY;3;telewizory;;;101,0
315740;TELEWIZORY;3;telewizory;;;20,0
122155;TELEWIZORY;3;telewizory;;;50,0
316807;TELEWIZORY;3;telewizory;;;200,0
122191;TELEWIZORY;3;telewizory;;;60,0
311295;TELEWIZORY;3;telewizory;;;50,0
311291;TELEWIZORY;3;telewizory;;;50,0
315013;TELEWIZORY;3;telewizory;;;50,0
122310;TELEWIZORY;3;telewizory;;;50,0
122272;TELEWIZORY;3;telewizory;;;50,0
122278;TELEWIZORY;3;telewizory;;;50,0
122274;TELEWIZORY;3;telewizory;;;50,0
311299;TELEWIZORY;3;telewizory;;;50,0
314662;TELEWIZORY;3;telewizory;;;50,0
311271;TELEWIZORY;3;telewizory;;;50,0
124709;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;674,8
111705;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;674,6
114766;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;419,8
121354;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;404,7
121591;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;329,7
116816;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;314,6
120578;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;310,0
107065;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;268,7
126263;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;249,8
120495;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;239,7
126254;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;212,3
126259;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;212,3
126261;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;212,3
126265;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;199,8
121076;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;194,7
126251;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;174,8
126252;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;174,8
126250;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;174,8
126253;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;174,8
126258;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;169,8
126260;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;169,8
125986;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;169,8
312008;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;149,8
125075;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;149,8
120167;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;140,0
120604;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;140,0
311462;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;140,0
311463;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;140,0
203567;SMARTFONY, SMARTWATCHE i TELEFONY;6;smartfony-smartwatche;smartfony;smartfony;135,8
