gid;cat_name;cat;cat_url
82169;Golarka ;cat-2;/agd-drobne/higiena-i-pielegnacja/golarki.html
116495;Golarka ;cat-2;/agd-drobne/higiena-i-pielegnacja/golarki.html
116500;Golarka ;cat-2;/agd-drobne/higiena-i-pielegnacja/golarki.html
123583;Golarka ;cat-2;/agd-drobne/higiena-i-pielegnacja/golarki.html
104071;Golarka ;cat-2;/agd-drobne/higiena-i-pielegnacja/golarki.html
96736;Golarka ;cat-2;/agd-drobne/higiena-i-pielegnacja/golarki.html
123110;Telefon ;cat-3;/telefony-komorkowe-gsm.html
125871;Telefon ;cat-3;/telefony-komorkowe-gsm.html
125987;Telefon ;cat-3;/telefony-komorkowe-gsm.html
315632;Telefon ;cat-3;/telefony-komorkowe-gsm.html
124647;Telefon ;cat-3;/telefony-komorkowe-gsm.html
124171;Telefon ;cat-3;/telefony-komorkowe-gsm.html
315707;Głośnik ;cat-4;/komputery-i-akcesoria/goniki-1-2-3.html
315706;Głośnik ;cat-4;/komputery-i-akcesoria/goniki-1-2-3.html
116591;Głośnik ;cat-4;/komputery-i-akcesoria/goniki-1-2-3.html
115576;Głośnik ;cat-4;/komputery-i-akcesoria/goniki-1-2-3.html
120918;Głośnik ;cat-4;/komputery-i-akcesoria/goniki-1-2-3.html
316513;Głośnik ;cat-4;/komputery-i-akcesoria/goniki-1-2-3.html
316537;AGD Drobne ;cat-1;/agd-drobne.html
40040;AGD Drobne ;cat-1;/agd-drobne.html
80859;AGD Drobne ;cat-1;/agd-drobne.html
103416;AGD Drobne ;cat-1;/agd-drobne.html
39419;AGD Drobne ;cat-1;/agd-drobne.html
109858;AGD Drobne ;cat-1;/agd-drobne.html
312835;Smartwatch;cat-5;/neo24-gsm/zegarki-i-produkty-sportowe/smartwatche.html
125948;Smartwatch;cat-5;/neo24-gsm/zegarki-i-produkty-sportowe/smartwatche.html
313794;Smartwatch;cat-5;/neo24-gsm/zegarki-i-produkty-sportowe/smartwatche.html
125604;Smartwatch;cat-5;/neo24-gsm/zegarki-i-produkty-sportowe/smartwatche.html
315658;Smartwatch;cat-5;/neo24-gsm/zegarki-i-produkty-sportowe/smartwatche.html
311686;Smartwatch;cat-5;/neo24-gsm/zegarki-i-produkty-sportowe/smartwatche.html
