gid;kod;cat;new_price
125290;60;tv40-43;1799
122150;120;tv46-50;2079
122190;180;tv46-50;2549
122798    ;0;tv32;1399
251114;50;tv40-43;1849
122133;59;tv40-43;1259
122147;150;tv40-43;1899
122502;100;tv40-43;1649
311291;150;tv40-43;1199
311275;200;tv40-43;1099
122168;100;tv40-43;1649
311274;150;tv40-43;1049
122297;81;tv40-43;1099
122295;60;tv40-43;1339
122152;91;tv46-50;2699
311299;100;tv46-50;1599
311295;150;tv46-50;1349
314662;150;tv46-50;1549
122286;150;tv46-50;2249
311271;100;tv46-50;1299
122155;158;tv55;2839
122158;200;tv55;3399
122486;250;tv55;2899
122310;250;tv55;2749
122278;200;tv55;2299
126415;98;tv55;2599
